-No-  Hi  Lo  Artist's Name
 825   0   1  Wings
 826   1   2  Winston, George
 827   0   1  Wojciech Kilar
 828   5   6  Wonder, Stevie
 829   0   3  Wu-Tang Clan
 830   1   0  Wyatt, Robert
 831   2   2  XTC
 832  14  21  Xmas Various artists
 833   1   0  Yamin, Elliott
 834   1   0  Yankovic, Weird Al
 835   1   2  Yanni
 836   2   1  Yardbirds, the
 837   1   0  Yaz
 838  12   0  Yes
 839   1   0  Ying Yang Twins
 840   1   0  Yo La Tengo
 841   6   0  Young, Neil
 842   1   0  Youngblood, Mary
 843   1   0  Zac Brown Band
 844   3   0  Zappa, Frank
 845   2   0  Zevon, Warren
 846   1   0  Zombie, Rob
 847   1   0  Zombies, the
 848   1   0  Zwan
 849   6   0  ZZ Top
Number Lo-Res albums: 1101
Number Hi-Res albums: 1713
Total Number  albums: 2814
