-No-  Hi  Lo  Artist's Name
 837   2   0  Raitt, Bonnie
 838   1   0  Ram Jam
 839   6   0  Ramones
 840   1   0  Randolph, Boots
 841   0   1  Randolph, Robert
 842   1   0  Rare Earth
 843   1   0  Rascal Flatts
 844   1   0  Raspberries, The
 845   1   0  Ratt
 846   8   0  Red Hot Chili Peppers
 847   1   0  Red Jumpsuit Apparatus, The
 848   3   0  Redding, Otis
 849   1   0  Redding, Otis & Thomas Carla
 850   6   0  Reed, Lou
 851   0   1  Reese, Don
 852   1   0  Reeves, Martha & The Vandellas
 853   2   0  Reinhardt, Django
 854   6   0  Reo Speedwagon
 855   4   0  Replacements, the
 856   0   1  Rich, Buddy
 857   1   2  Richie, Lionel & The Commodores
 858   1   0  Righteous Brothers, the
 859   4   2  Rihanna
 860   1   0  Rimes, LeAnn
 861   2   1  Rise Against
 862   3   2  Robertson. Robbie
 863   4   0  Robinson, Smokey & the Miracles
 864   2   0  Rodrigo y Gabriela
 865   1   0  RodriGuez, Sixto
 866   1   0  Rogers, Kenny
 867  31  16  Rolling Stones
 868   1   0  Ronettes, The
 869   8   0  Ronstadt. Linda
 870   3   0  Ross, Diana
 871   0   1  Roxy Music
 872   2   0  Royal Blood
 873   1   0  Rundgren, Todd
 874  10   6  Rush
 875   1   0  Rush, Otis
 876   1   0  Russell, David
 877   2   0  Rusted Root
 878   1   0  Sade
 879   1   0  Saga
 880   1   0  Sam & Dave
 881   0   1  Samples, the
 882   1   0  Sandoval, Hope & The Warm Inventions
 883  19   0  Santana, Carlos
 884   1   0  Santigold
 885   1   1  Santos, Romeo
 886  14   3  Satriani, Joe
 887   2   0  Savage Garden
 888   3   0  Saxon
 889   7   0  Scaggs, Boz
 890   2   0  Scorpions
 891   5   0  Scorsese, Martin
 892   1   0  Scruggs, Earl
 893   2   0  Seal
 894   1   0  Seals & Croft
 895   8   0  Seeger, Pete
 896   7   0  Seger, Bob & The Silver Bullet Band
 897   2   0  Segovia, Andres
 898   1   1  Semisonic
 899   1   0  Sex Pistols, the
 900   1   0  Shabba Ranks
 901   4   0  Shakira
 902   1   0  Shania Twain
